appid,name_x,playtime_forever,img_icon_url,has_community_visible_stats,content_descriptorids,has_leaderboards,playtime_2weeks,participant_id,playtime_hours,achievement_ratio,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name_y,type,genres,categories,release_date,developer,publisher,name,hltb_main_story,hltb_main_extra,hltb_completionist
730,Counter-Strike 2,198,8dbc71957312bbd3baea65848b545be9eae2a355,True,"[2, 5]",,185.0,User4,3.3,1.0,198.0,0.0,0.0,0.0,1750693544.0,0.0,Counter-Strike 2,game,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","15 Sep, 2017",Valve,Valve,Counter-Strike 2,118.17,355.34,761.87
1037190,Shipped,182,49f46c9e159722ec4e75c9b69dd1144c6917b891,True,,,,User4,3.0,0.15384615384615385,182.0,0.0,0.0,0.0,1726933390.0,0.0,Shipped,game,"['Action', 'Casual', 'Indie', 'Sports']","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","Mar 28, 2019",Majorariatto,Majorariatto,Shipped,0.5,0.62,50.0
1128810,RISK: Global Domination,6,ecc6f7301e88a88e93edec1a3d4ddcc7ec9c5335,True,,,,User4,0.1,0.03636363636363636,6.0,0.0,0.0,0.0,1713110760.0,0.0,RISK: Global Domination,game,"['Casual', 'Strategy', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","19 Feb, 2020",SMG Studio,SMG Studio,RISK: Global Domination,16.07,21.42,34.31
1085660,Destiny 2,0,fce050d63f0a2f8eb51b603c7f30bfca2a301549,True,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Destiny 2,game,"['Action', 'Adventure', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']","Oct 1, 2019",Bungie,Bungie,Destiny 2,12.23,41.32,190.75
1172380,STAR WARS Jedi: Fallen Order™ ,869,0ea1d285a8ee6fbeef0e8f7f3b2d7fa4cbcb423b,True,,,,User4,14.5,0.15384615384615385,869.0,0.0,0.0,0.0,1734719275.0,0.0,STAR WARS Jedi: Fallen Order™,game,"['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Difficulty', 'Stereo Sound', 'Surround Sound', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available']","14 Nov, 2019",Respawn Entertainment,Electronic Arts,STAR WARS Jedi: Fallen Order™,,,
203770,Crusader Kings II,0,56e9c15cbeb6c1f873f7f1dc757bae7618861484,True,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crusader Kings II,game,"['RPG', 'Simulation', 'Strategy', 'Free To Play']","['Single-player', 'Multi-player', 'Steam Trading Cards']","14 Feb, 2012",Paradox Development Studio,Paradox Interactive,Crusader Kings II,67.08,238.02,440.97
1203620,Enshrouded,2278,9588cc0bd32e350a2353c332be67cf52a9b2b47b,True,,,,User4,38.0,0.4888888888888889,2278.0,0.0,0.0,0.0,1745679477.0,0.0,Enshrouded,game,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","24 Jan, 2024",Keen Games GmbH,Keen Games GmbH,Enshrouded,46.38,55.09,74.35
1225570,Unravel Two,0,e47fb3108c7590af816e13f216500036ca32203f,True,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
1222680,Need for Speed™ Heat ,2547,98a96955403db8eeed026bc5ff04e51e3329f1b0,True,,,,User4,42.4,0.40476190476190477,2547.0,0.0,0.0,0.0,1744308840.0,0.0,,,[''],[''],,,,,,,
1268960,pureya,0,71bd52bee5b510992b052bc2c78edfb975aa985d,True,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
